Código COMPE;Banco;Nome Completo;ISPB;Site
461;ASAAS IP S.A.;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.;19540550;
462;STARK SCD S.A.;STARK SOCIEDADE DE CRÉDITO DIRETO S.A.;39908427;
463;AZUMI DTVM;AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA.;40434681;
464;BCO SUMITOMO MITSUI BRASIL S.A.;Banco Sumitomo Mitsui Brasileiro S.A.;60518222;
465;CAPITAL CONSIG SCD S.A.;CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.;40083667;
467;MASTER S/A CCTVM;MASTER S/A CORRETORA DE CâMBIO, TíTULOS E VALORES MOBILIáRIOS;33886862;
468;PORTOSEG S.A. CFI;PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;04862600;
469;LIGA INVEST DTVM LTDA.;LIGA INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;07138049;
470;CDC SCD S.A.;CDC SOCIEDADE DE CRÉDITO DIRETO S.A.;18394228;
471;CECM SERV PUBL PINHÃO;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS DE PINHÃO - CRES;04831810;
473;BCO CAIXA GERAL BRASIL S.A.;Banco Caixa Geral - Brasil S.A.;33466988;
475;BCO YAMAHA MOTOR S.A.;Banco Yamaha Motor do Brasil S.A.;10371492;
477;CITIBANK N.A.;Citibank N.A.;33042953;
478;GAZINCRED S.A. SCFI;GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11760553;
479;BCO ITAUBANK S.A.;Banco ItauBank S.A.;60394079;
481;SUPERLÓGICA SCD S.A.;SUPERLÓGICA SOCIEDADE DE CRÉDITO DIRETO S.A.;43599047;
482;SBCASH SCD;SBCASH SOCIEDADE DE CRÉDITO DIRETO S.A.;42259084;
484;MAF DTVM SA;MAF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;36864992;
487;DEUTSCHE BANK S.A.BCO ALEMAO;DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;
488;JPMORGAN CHASE BANK;JPMorgan Chase Bank, National Association;46518205;
495;BCO LA PROVINCIA B AIRES BCE;Banco de La Provincia de Buenos Aires;44189447;
505;BCO CREDIT SUISSE S.A.;Banco Credit Suisse (Brasil) S.A.;32062580;
506;RJI;RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;42066258;
507;SCFI EFÍ S.A.;SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.;37229413;
508;AVENUE SECURITIES DTVM LTDA.;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;61384004;
509;CELCOIN IP S.A.;CELCOIN INSTITUICAO DE PAGAMENTO S.A.;13935893;
510;FFCRED SCD S.A.;FFCRED SOCIEDADE DE CRÉDITO DIRETO S.A..;39738065;
511;MAGNUM SCD;MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A.;44683140;
512;FINVEST DTVM;FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;36266751;
513;ATF CREDIT SCD S.A.;ATF CREDIT SOCIEDADE DE CRÉDITO DIRETO S.A.;44728700;
516;QISTA S.A. CFI;QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36583700;
518;MERCADO CRÉDITO SCFI S.A.;MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;37679449;
519;LIONS TRUST DTVM;LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;40768766;
521;PEAK SEP S.A.;PEAK SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.;44019481;
522;RED SCD S.A.;RED SOCIEDADE DE CRÉDITO DIRETO S.A.;47593544;
523;HR DIGITAL SCD;HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A;44292580;
524;WNT CAPITAL DTVM;WNT CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;45854066;
525;INTERCAM CC LTDA;INTERCAM CORRETORA DE CÂMBIO LTDA.;34265629;
526;MONETARIE SCD;MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.;46026562;
527;ATICCA SCD S.A.;ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.;44478623;
528;REAG DTVM S.A.;REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;34829992;
529;PINBANK IP;PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.;17079937;
530;SER FINANCE SCD S.A.;SER FINANCE SOCIEDADE DE CRÉDITO DIRETO S.A.;47873449;
532;EAGLE SCD S.A.;EAGLE SOCIEDADE DE CRÉDITO DIRETO S.A.;45745537;
534;EWALLY IP S.A.;EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.;00714671;
535;MARU SCD S.A.;MARÚ SOCIEDADE DE CRÉDITO DIRETO S.A.;39519944;
536;NEON PAGAMENTOS S.A. IP;NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;20855875;
537;MICROCASH SCMEPP LTDA.;MICROCASH SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE;45756448;
539;SANTINVEST S.A. - CFI;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;00122327;
541;FDO GARANTIDOR CRÉDITOS;FUNDO GARANTIDOR DE CREDITOS - FGC;00954288;
545;SENSO CCVM S.A.;SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A;17352220;
546;U4C INSTITUIÇÃO DE PAGAMENTO S.A.;U4C INSTITUIÇÃO DE PAGAMENTO S.A.;30980539;
600;BCO LUSO BRASILEIRO S.A.;Banco Luso Brasileiro S.A.;59118133;
604;BCO INDUSTRIAL DO BRASIL S.A.;Banco Industrial do Brasil S.A.;31895683;
610;BCO VR S.A.;Banco VR S.A.;78626983;
611;BCO PAULISTA S.A.;Banco Paulista S.A.;61820817;
612;BCO GUANABARA S.A.;Banco Guanabara S.A.;31880826;
613;OMNI BANCO S.A.;Omni Banco S.A.;60850229;
623;BANCO PAN;Banco Pan S.A.;59285411;
626;BCO C6 CONSIG;BANCO C6 CONSIGNADO S.A.;61348538;
630;BCO LETSBANK S.A.;BANCO LETSBANK S.A.;58497702;
633;BCO RENDIMENTO S.A.;Banco Rendimento S.A.;68900810;
634;BCO TRIANGULO S.A.;BANCO TRIANGULO S.A.;17351180;
637;BCO SOFISA S.A.;BANCO SOFISA S.A.;60889128;
643;BCO PINE S.A.;Banco Pine S.A.;62144175;
653;BANCO VOITER;BANCO VOITER S.A.;61024352;
654;BCO DIGIMAIS S.A.;BANCO DIGIMAIS S.A.;92874270;
655;BCO VOTORANTIM S.A.;Banco Votorantim S.A.;59588111;
707;BCO DAYCOVAL S.A;Banco Daycoval S.A.;62232889;
712;BCO OURINVEST S.A.;Banco Ourinvest S.A.;78632767;
720;BCO RNX S.A.;BANCO RNX S.A.;80271455;
739;BCO CETELEM S.A.;Banco Cetelem S.A.;00558456;
741;BCO RIBEIRAO PRETO S.A.;BANCO RIBEIRAO PRETO S.A.;00517645;
743;BANCO SEMEAR;Banco Semear S.A.;00795423;
745;BCO CITIBANK S.A.;Banco Citibank S.A.;33479023;
746;BCO MODAL S.A.;Banco Modal S.A.;30723886;
747;BCO RABOBANK INTL BRASIL S.A.;Banco Rabobank International Brasil S.A.;01023570;
748;BCO COOPERATIVO SICREDI S.A.;BANCO COOPERATIVO SICREDI S.A.;01181521;
751;SCOTIABANK BRASIL;Scotiabank Brasil S.A. Banco Múltiplo;29030467;
752;BCO BNP PARIBAS BRASIL S A;Banco BNP Paribas Brasil S.A.;01522368;
753;NOVO BCO CONTINENTAL S.A. - BM;Novo Banco Continental S.A. - Banco Múltiplo;74828799;
754;BANCO SISTEMA;Banco Sistema S.A.;76543115;
755;BOFA MERRILL LYNCH BM S.A.;Bank of America Merrill Lynch Banco Múltiplo S.A.;62073200;
756;BANCO SICOOB S.A.;BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;02038232;
757;BCO KEB HANA DO BRASIL S.A.;BANCO KEB HANA DO BRASIL S.A.;02318507;
